InvoiceDate,InvoiceId,SalesUNit,Qty,NetWeight,CustomerName,LineAmount1,Freight,City,State,ItemName,ProductCategory
31-10-2019,SGE-1920/006290,BKT,8,160,Customer 185,67907.52,240.62,JAIPUR,RJ,Item 1,Category 1
31-10-2019,SGE-1920/006279,CAN,24,9.96,Customer 209,4815.36,18.13,SANGLI,MH,Item 5,Category 3
31-10-2019,SGE-1920/006186,BKT,11,220,Customer 210,90024,1763.46,Paradip,OR,Item 1,Category 1
11-11-2019,SGE-1920/006477,SET,9,216,Customer 21,251475.84,502.8,BHARUCH,GJ,Item 2,Category 2
13-11-2019,SGE-1920/006555,SET,6,144,Customer 74,147513.75,213.08,GANDHIDHAM,GJ,Item 2,Category 2
13-11-2019,SGE-1920/006530,CAN,10,4.15,Customer 53,2379.47,5,LUDHIANA,PB,Item 5,Category 3
13-11-2019,SGE-1920/006531,CAN,15,6.23,Customer 77,4910.4,27.53,JAMSHEDPUR,JH,Item 5,Category 3
13-11-2019,SGE-1920/006551,BKT,7,140,Customer 150,121721.6,559.59,SALEM,TN,Item 1,Category 1
14-11-2019,SGE-1920/006573,SET,4,96,Customer 4,108466.41,220.08,JAIPUR,RJ,Item 2,Category 2
14-11-2019,SGE-1920/006573,SET,4,96,Customer 4,118958.82,241.37,JAIPUR,RJ,Item 3,Category 2
14-11-2019,SGE-1920/006575,SET,8,192,Customer 4,216932.81,441.61,JAIPUR,RJ,Item 2,Category 2
14-11-2019,SGE-1920/006557,BKT,175,3500,Customer 108,498750,0,BELLARY,KA,Item 1,Category 1
16-11-2019,DD-1920/000268,CAN,89,36.94,Customer 129,15130,0,PATALGANGA,MH,Item 5,Category 3
16-11-2019,SGE-1920/006608,CAN,504,209.16,Customer 16,100800,394.83,BHOPAL,MP,Item 5,Category 3
16-11-2019,SGE-1920/006604,CAN,20,8.3,Customer 53,4758.94,11.35,LUDHIANA,PB,Item 5,Category 3
16-11-2019,SGE-1920/006613,CAN,60,24.9,Customer 173,17986,53.71,KOTHAGUDEM,AP,Item 5,Category 3
16-11-2019,SGE-1920/006617,BKT,25,500,Customer 182,320166,637.46,ADITYAPUR,JH,Item 1,Category 1
18-11-2019,SGE-1920/006636,CAN,216,89.64,Customer 40,58255.2,228.62,HYDERABAD,TS,Item 5,Category 3
18-11-2019,SGE-1920/006646,SET,4,96,Customer 171,117014.4,297.63,GOA,GA,Item 2,Category 2
19-11-2019,SGE-1920/006670,BKT,25,500,Customer 64,176000,802.55,SECUNDRABAD,TS,Item 1,Category 1
20-11-2019,SGE-1920/006678,SET,28,672,Customer 154,690117.12,1477.72,AHMEDABAD,GJ,Item 3,Category 2
20-11-2019,SGE-1920/006689,CAN,12,4.98,Customer 27,3252.48,7.56,AURANGABAD,MH,Item 5,Category 3
21-11-2019,SGE-1920/006725,BKT,20,400,Customer 24,127400,556.5,BHARUCH,GJ,Item 1,Category 1
21-11-2019,SGE-1920/006732,CAN,12,4.98,Customer 53,2855.36,5.81,LUDHIANA,PB,Item 5,Category 3
21-11-2019,SGE-1920/006718,CAN,12,4.98,Customer 165,3374.66,13.72,KANPUR,UP,Item 5,Category 3
22-11-2019,SGE-1920/006750,BKT,5,100,Customer 4,35200,111.56,JAIPUR,RJ,Item 1,Category 1
22-11-2019,SGE-1920/006757,CAN,12,4.98,Customer 39,3564.84,7.92,MEERUT,UP,Item 5,Category 3
22-11-2019,SGE-1920/006772,CAN,229,95.04,Customer 5,38832.68,170.39,GURGAON,HR,Item 5,Category 3
22-11-2019,SGE-1920/006738,BKT,3,60,Customer 92,20880,225.93,LUCKNOW,UP,Item 1,Category 1
22-11-2019,SGE-1920/006738,KIT,2,36,Customer 92,9918,107.31,LUCKNOW,UP,Item 4,Category 2
23-11-2019,DD-1920/000273,CAN,200,83,Customer 46,34000,0,BHARUCH,GJ,Item 5,Category 3
23-11-2019,DD-1920/000273,CAN,30,12.45,Customer 46,5100,0,BHARUCH,GJ,Item 5,Category 3
23-11-2019,DD-1920/000273,CAN,400,166,Customer 46,68000,0,BHARUCH,GJ,Item 5,Category 3
23-11-2019,SGE-1920/006779,SET,2,48,Customer 89,49253.57,106.22,AHMEDABAD,GJ,Item 2,Category 2
23-11-2019,SGE-1920/006801,SET,4,96,Customer 16,112804.45,227.54,BHOPAL,MP,Item 2,Category 2
23-11-2019,SGE-1920/006807,CAN,244,101.26,Customer 5,41376.3,124.07,GURGAON,HR,Item 5,Category 3
26-11-2019,SGE-1920/006862,CAN,12,4.98,Customer 53,2855.36,4.87,LUDHIANA,PB,Item 5,Category 3
26-11-2019,SGE-1920/006851,CAN,48,19.92,Customer 29,13728,42.28,VIJAYWADA,AP,Item 5,Category 3
26-11-2019,SGE-1920/006860,CAN,504,209.16,Customer 62,100800,389.83,NAGPUR,MH,Item 5,Category 3
26-11-2019,SGE-1920/006852,SET,21,504,Customer 57,430920,1049.52,AHMEDABAD,GJ,Item 2,Category 2
27-11-2019,SGE-1920/006890,BKT,13,260,Customer 57,143500.73,424.24,AHMEDABAD,GJ,Item 1,Category 1
28-11-2019,SGE-1920/006935,SET,1,24,Customer 18,26080.45,58.28,BHIWADI,RJ,Item 2,Category 2
28-11-2019,SGE-1920/006927,BKT,10,200,Customer 141,72800,287.71,RAIPUR,CT,Item 1,Category 1
28-11-2019,SGE-1920/006925,SET,25,600,Customer 100,607665.42,1371.02,Bhubaneswar,OR,Item 2,Category 2
29-11-2019,SGE-1920/006947,CAN,504,209.16,Customer 47,123480,414.42,KUTCH,GJ,Item 5,Category 3
29-11-2019,SGE-1920/006959,SET,3,72,Customer 7,65572.42,172.44,GOA,GA,Item 2,Category 2
29-11-2019,SGE-1920/006957,SET,2,48,Customer 7,43714.94,114.47,GOA,GA,Item 2,Category 2
30-11-2019,DD-1920/000290,CAN,14,5.81,Customer 129,2380,0,PATALGANGA,MH,Item 5,Category 3
30-11-2019,DD-1920/000295,BKT,40,800,Customer 101,321616,0,RAIGAD,MH,Item 1,Category 1
30-11-2019,SGE-1920/007303,BKT,3,60,Customer 211,24000,0,MUMBAI,MH,Item 1,Category 1
30-11-2019,SGE-1920/007303,SQM,13,184.47,Customer 211,41600,0,MUMBAI,MH,Item 4,Category 1
30-11-2019,SGE-1920/007050,BKT,4,80,Customer 87,51955.2,140.25,BELGAUM,KA,Item 1,Category 1
30-11-2019,SGE-1920/007043,BKT,3,60,Customer 87,38966.4,0,BELGAUM,KA,Item 1,Category 1
30-11-2019,SGE-1920/007313,SET,3,72,Customer 87,95673.6,191.1,BELGAUM,KA,Item 3,Category 2
30-11-2019,SGE-1920/007125,CAN,1248,517.92,Customer 74,278304,707,GANDHIDHAM,GJ,Item 5,Category 3
30-11-2019,SGE-1920/007193,CAN,96,39.84,Customer 99,28769.66,71.49,LUDHIANA,PB,Item 5,Category 3
30-11-2019,SGE-1920/007007,CAN,14,5.81,Customer 53,3331.26,7.74,LUDHIANA,PB,Item 5,Category 3
30-11-2019,SGE-1920/007109,CAN,12,4.98,Customer 53,2855.36,6.46,LUDHIANA,PB,Item 5,Category 3
30-11-2019,SGE-1920/007333,CAN,48,19.92,Customer 53,11421.46,203.12,LUDHIANA,PB,Item 5,Category 3
30-11-2019,SGE-1920/007072,CAN,504,209.16,Customer 11,107730,161.86,KOLKATTA,WB,Item 5,Category 3
30-11-2019,SGE-1920/007319,CAN,1008,418.32,Customer 12,224784,800.78,NASHIK,MH,Item 5,Category 3
30-11-2019,SGE-1920/007305,KIT,40,720,Customer 56,147600,923.5,AHMEDABAD,GJ,Item 4,Category 2
30-11-2019,SGE-1920/007250,SET,2,48,Customer 86,50617.46,119.69,INDORE,MP,Item 2,Category 2
30-11-2019,SGE-1920/007250,BKT,5,100,Customer 86,25960,61.39,INDORE,MP,Item 1,Category 1
30-11-2019,SGE-1920/006994,KIT,15,270,Customer 126,33750,0,RAIGARH,CT,Item 4,Category 2
30-11-2019,SGE-1920/007052,BKT,34,680,Customer 126,178602,931.56,RAIGARH,CT,Item 1,Category 1
30-11-2019,SGE-1920/007052,KIT,2.5,45,Customer 126,5793.75,30.22,RAIGARH,CT,Item 4,Category 2
30-11-2019,SGE-1920/007230,CAN,768,318.72,Customer 95,165888,604.52,CHENNAI,TN,Item 5,Category 3
30-11-2019,SGE-1920/007338,KIT,25,450,Customer 17,123975,653.93,SONEBHANDRA,UP,Item 4,Category 2
30-11-2019,SGE-1920/007330,BKT,25,500,Customer 17,174000,710.96,SONEBHANDRA,UP,Item 1,Category 1
30-11-2019,SGE-1920/007326,BKT,50,1000,Customer 17,348000,1421.92,SONEBHANDRA,UP,Item 1,Category 1
30-11-2019,SGE-1920/007318,BKT,50,1000,Customer 17,348000,1421.92,SONEBHANDRA,UP,Item 1,Category 1
30-11-2019,SGE-1920/007325,BKT,50,1000,Customer 17,348000,1421.92,SONEBHANDRA,UP,Item 1,Category 1
30-11-2019,SGE-1920/007329,BKT,50,1000,Customer 17,348000,1421.92,SONEBHANDRA,UP,Item 1,Category 1
30-11-2019,SGE-1920/007261,SET,8,192,Customer 4,204393.02,436.13,JAIPUR,RJ,Item 3,Category 2
30-11-2019,SGE-1920/007202,BKT,5,100,Customer 4,56721.28,265.83,JAIPUR,RJ,Item 1,Category 1
30-11-2019,SGE-1920/007202,KIT,12,216,Customer 4,75137.46,352.14,JAIPUR,RJ,Item 4,Category 2
30-11-2019,SGE-1920/007327,KIT,70,1260,Customer 4,351120,1825.16,JAIPUR,RJ,Item 4,Category 2
30-11-2019,SGE-1920/007265,BKT,20,400,Customer 63,140800,570.43,VERAVAL,GJ,Item 1,Category 1
30-11-2019,SGE-1920/007168,CAN,20,8.3,Customer 77,6547.2,11.48,JAMSHEDPUR,JH,Item 5,Category 3
30-11-2019,SGE-1920/007336,CAN,6,2.49,Customer 106,1610.7,2.67,CHAMPA,CT,Item 5,Category 3
30-11-2019,SGE-1920/007300,BKT,55,1100,Customer 212,433290,1616.62,HALDIA,WB,Item 1,Category 1
30-11-2019,SGE-1920/006986,BKT,1,20,Customer 27,11264,33.71,AURANGABAD,MH,Item 1,Category 1
30-11-2019,SGE-1920/007320,BKT,8,160,Customer 158,70963.2,249.82,BANGLORE,KA,Item 1,Category 1
30-11-2019,SGE-1920/007314,CAN,360,149.4,Customer 120,77760,283.87,GOA,GA,Item 5,Category 3
30-11-2019,SGE-1920/007231,CAN,1008,418.32,Customer 21,236880,813.36,BHARUCH,GJ,Item 5,Category 3
30-11-2019,SGE-1920/007090,BKT,5,100,Customer 57,36975,144.45,AHMEDABAD,GJ,Item 1,Category 1
30-11-2019,SGE-1920/007177,CAN,113,46.9,Customer 5,19161.98,83.93,GURGAON,HR,Item 5,Category 3
30-11-2019,SGE-1920/007284,CAN,48,19.92,Customer 55,13831.49,24.11,GODAVARIKHANI,TS,Item 5,Category 3
30-11-2019,SGE-1920/007243,BKT,27,540,Customer 92,187920,731.46,LUCKNOW,UP,Item 1,Category 1
30-11-2019,SGE-1920/007268,CAN,10,4.15,Customer 34,2772.62,5.64,24-PARGANAS (NORTH),WB,Item 5,Category 3
30-11-2019,SGE-1920/007136,CAN,1008,418.32,Customer 79,224784,803.78,VADODARA,GJ,Item 5,Category 3
30-11-2019,SGE-1920/007170,CAN,60,24.9,Customer 173,18774.62,53.53,KOTHAGUDEM,AP,Item 5,Category 3
30-11-2019,SGE-1920/007317,CAN,648,268.92,Customer 7,139968,510.57,GOA,GA,Item 5,Category 3
30-11-2019,SGE-1920/007114,CAN,12,4.98,Customer 35,3960,7,PUNE,MH,Item 5,Category 3
30-11-2019,SGE-1920/007069,BKT,3,60,Customer 182,38419.92,63.34,ADITYAPUR,JH,Item 1,Category 1
